,duration,play_pattern_name,under_pressure,shot_outcome_name,shot_first_time,distance_to_goal,shot_angle,gk_name,gk_engage,assist_type,player_name
0,0.24,Regular Play,1,Saved,1,13.45362404707371,48.01278750418334,Danijel Subašić,0.5255883312276367,Pass,Martin Braithwaite Christensen
1,0.213,Regular Play,0,Saved,0,14.866068747318506,47.72631099390627,David Ospina Ramírez,0.19026059766179765,Pass,Robert Lewandowski
2,0.667,Regular Play,0,Goal,0,13.892443989449804,30.256437163529263,Wojciech Szczęsny,0.5803340113821,Pass,Radamel Falcao García Zárate
3,0.827,From Counter,0,Goal,0,15.132745950421556,7.594643368591445,Wojciech Szczęsny,0.7388176557069271,Pass,Juan Guillermo Cuadrado Bello
4,0.453,From Corner,0,Blocked,0,8.06225774829855,60.25511870305777,David Ospina Ramírez,0.4472135954999579,Other,Grzegorz Krychowiak
5,1.547,Regular Play,0,Blocked,0,7.280109889280518,74.05460409907715,Wojciech Szczęsny,0.3071475584169756,Other,Andrés Mateus Uribe Villa
6,0.933,From Corner,0,Off T,1,8.48528137423857,45.0,Francisco Guillermo Ochoa Magaña,1.0,Other,Timo Werner
7,0.493,Regular Play,0,Saved,0,3.1622776601683795,18.43494882292201,Francisco Guillermo Ochoa Magaña,0.31622776601683794,Other,Mario Gómez García
8,0.333,Regular Play,0,Saved,0,13.416407864998739,63.43494882292202,Vladimir Stojković,0.16666666666666666,Pass,Gabriel Fernando de Jesus
9,1.8,From Throw In,0,Saved,0,10.44030650891055,73.30075576600639,Vladimir Stojković,0.7898437889919591,Other,Neymar da Silva Santos Junior
10,1.933,Regular Play,0,Goal,0,14.035668847618199,4.085616779974877,Vladimir Stojković,0.21374114996372895,Pass,José Paulo Bezzera Maciel Júnior
11,1.053,Regular Play,0,Saved,0,15.0,53.13010235415598,Vladimir Stojković,0.7211102550927979,Pass,Neymar da Silva Santos Junior
12,0.56,Regular Play,1,Saved,0,13.892443989449804,59.743562836470744,David Ospina Ramírez,0.7410956739365446,Pass,"M""Baye Babacar Niang"
