,under_pressure,shot_outcome_name,distance_to_goal,shot_angle,gk_name,gk_engage
0,1,Saved,13.45362405,48.0127875,Danijel Subašić,0.525588331
1,0,Saved,14.86606875,47.72631099,David Ospina Ramírez,0.190260598
2,0,Goal,13.89244399,30.25643716,Wojciech Szczęsny,0.580334011
3,0,Goal,15.13274595,7.594643369,Wojciech Szczęsny,0.738817656
4,0,Blocked,8.062257748,60.2551187,David Ospina Ramírez,0.447213595
5,0,Blocked,7.280109889,74.0546041,Wojciech Szczęsny,0.307147558
6,0,Off T,8.485281374,45,Francisco Guillermo Ochoa Magaña,1
7,0,Saved,3.16227766,18.43494882,Francisco Guillermo Ochoa Magaña,0.316227766
8,0,Saved,13.41640786,63.43494882,Vladimir Stojković,0.166666667
9,0,Saved,10.44030651,73.30075577,Vladimir Stojković,0.789843789
10,0,Goal,14.03566885,4.08561678,Vladimir Stojković,0.21374115
11,0,Saved,15,53.13010235,Vladimir Stojković,0.721110255
12,1,Saved,13.89244399,59.74356284,David Ospina Ramírez,0.741095674
13,0,Goal,6,0,Jaime Manuel Penedo Cano,0.527046277
14,0,Saved,13.03840481,32.47119229,Jaime Manuel Penedo Cano,0.383482494
15,1,Saved,17.08800749,69.44395478,Mathew Ryan,0.707106781
16,0,Saved,10.29563014,29.0546041,Igor Akinfeev,0.758598509
17,1,Goal,1.414213562,45,Igor Akinfeev,0.707106781
18,1,Saved,10.63014581,41.18592517,Francisco Guillermo Ochoa Magaña,0.602355259
19,0,Off T,21.02379604,64.65382406,Alisson Ramsés Becker,0.874474632
20,1,Blocked,19.41648784,55.49147701,Danijel Subašić,0.742781353
21,0,Off T,12.08304597,65.55604522,Danijel Subašić,0.596795093
22,0,Blocked,18.02775638,70.55996517,Igor Akinfeev,0.877058019
23,0,Off T,15.23154621,66.80140949,Pedro David Gallese Quiróz,0.529313153
24,0,Saved,8.246211251,14.03624347,Pedro David Gallese Quiróz,0.618346942
25,1,Wayward,6.08276253,9.462322208,Eiji Kawashima,0.657595949
26,0,Goal,17.80449381,51.84277341,Thibaut Courtois,0.732309772
27,0,Blocked,10,36.86989765,Eiji Kawashima,0.728010989
28,0,Blocked,12.20655562,55.0079798,Thibaut Courtois,0.40961596
29,0,Saved,12.72792206,45,Thibaut Courtois,0.392837101
30,1,Blocked,5,53.13010235,Danijel Subašić,0.282842712
31,0,Off T,10.29563014,60.9453959,Wilfredo Daniel Caballero,0.739709275
32,0,Goal,17.02938637,40.23635831,Franco Armani,0.473432076
33,1,Blocked,16.1245155,29.7448813,Hugo Lloris,0.832050294
34,0,Saved,11.40175425,74.7448813,Thibaut Courtois,0.361620285
35,0,Off T,17.69180601,47.29061004,Alisson Ramsés Becker,0.723851961
36,0,Wayward,17.88854382,63.43494882,Hugo Lloris,0.776611228
37,0,Off T,6.32455532,71.56505118,Hugo Lloris,0.5
38,0,Saved,18.43908891,49.39870535,Hugo Lloris,0.806225775
39,0,Goal,6.708203932,26.56505118,Hugo Lloris,0.210818511
40,0,Goal,15,53.13010235,Hannes Þór Halldórsson,0.659966329
41,0,Saved,10,53.13010235,Mohamed El Shenawy,0.282842712
42,0,Off T,17.72004515,73.61045967,Wilfredo Daniel Caballero,0.535372958
43,0,Saved,14.86606875,70.34617594,Igor Akinfeev,0.702291015
44,1,Saved,15.23154621,66.80140949,Igor Akinfeev,0.830454799
45,0,Blocked,13.34166406,77.00538321,Thibaut Courtois,0.691034073
46,0,Goal,9.433981132,32.00538321,Farouk Ben Mustapha,0.382187671
47,0,Wayward,8.062257748,29.7448813,Thibaut Courtois,0.794209815
48,0,Post,6.08276253,9.462322208,Farouk Ben Mustapha,0.735214622
49,0,Goal,8.602325267,35.53767779,Farouk Ben Mustapha,1.150792911
50,0,Blocked,16.2788206,42.51044708,Kasper Schmeichel,0.868744486
51,0,Goal,16.97056275,45,Pedro David Gallese Quiróz,0.294627825
52,1,Blocked,15.62049935,50.19442891,Mohammed Khalil Al Owais,0.7708841
53,0,Saved,8.485281374,45,David de Gea Quintana,0.424918293
54,0,Wayward,5,36.86989765,Munir Mohand Mohamedi,0.565685425
55,0,Wayward,15.62049935,50.19442891,Munir Mohand Mohamedi,0.861280023
56,0,Goal,5.656854249,45,Munir Mohand Mohamedi,0.559016994
57,1,Goal,12.80624847,51.34019175,Francis Odinaka Uzoho,0.71992547
58,0,Saved,11.70469991,70.01689348,Franco Armani,0.38208036
59,0,Saved,22.20360331,35.83765295,Eiji Kawashima,0.363105827
60,0,Off T,13.15294644,8.746162263,Yasser Abdullah Al Mosailem,0.313473916
61,1,Saved,18.97366596,71.56505118,Łukasz Fabiański,0.833333333
62,0,Off T,6.32455532,71.56505118,Łukasz Fabiański,0.707106781
63,0,Goal,8.485281374,45,Eiji Kawashima,0.687184271
64,0,Off T,11.40175425,15.2551187,Eiji Kawashima,0.533493566
65,0,Saved,15.55634919,45,Munir Mohand Mohamedi,0.363636364
66,1,Goal,13.60147051,17.10272897,Alireza Safar Beiranvand,0.791850382
67,0,Saved,7.280109889,15.9453959,Hyun-Woo Cho,0.739709275
68,1,Saved,12.52996409,28.61045967,Munir Mohand Mohamedi,0.686540297
69,1,Off T,5.656854249,45,Francisco Guillermo Ochoa Magaña,0.75
70,0,Blocked,18.24828759,80.53767779,Robin Olsen,0.892073874
71,1,Off T,16.2788206,47.48955292,Francisco Guillermo Ochoa Magaña,0.653004666
