,match_id,minute,team_id,team_name,player_id,player_name,shot_body_part_name,shot_technique_name,shot_outcome_name,date,home_team,away_team,season,competition,gk_id,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,14518,4,58,Cardiff City,9923,Bobby Reid,Right Foot,Normal,Goal,02/02/2019,Cardiff City,AFC Bournemouth,2018/2019,Premier League,20074,Artur Boruc,175.5,155.7421875,128.25,121.25390625,108.0,80.4375,101.25,87.08203125,54.0,123.46875,175.5,162.4921875,111.375,87.240234375,47.25,59.23828125,40.5,52.3828125,54.0,126.84375,81.0,93.515625,81.0,66.515625,54.0,52.59375,47.25,65.98828125,60.75,99.94921875,84.375,167.818359375
1,2034,73,33,Chelsea,3621,Eden Hazard,Right Foot,Lob,Goal,02/12/2017,Chelsea,Newcastle United,2017/2018,Premier League,3649,Karl Darlow,119.25,309.61328125,124.9375,269.8896484375,204.5625,191.5087890625,159.0625,179.4228515625,107.875,252.560546875,39.625,331.119140625,181.8125,179.7783203125,170.4375,94.2880859375,176.125,94.376953125,159.0625,42.9228515625,250.0625,243.4072265625,255.75,163.87109375,227.3125,106.5517578125,119.25,93.48828125,255.75,169.55859375,250.0625,266.1572265625
2,2126,41,24,Liverpool,3531,Mohamed Salah,Left Foot,Normal,Saved,28/10/2017,Liverpool,Huddersfield Town,2017/2018,Premier League,3322,Jonas Lössl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14298,74,28,AFC Bournemouth,3346,Joshua King,Right Foot,Normal,Goal,25/08/2018,AFC Bournemouth,Everton,2018/2019,Premier League,3468,Jordan Pickford,25.96875,325.85888671875,102.75,238.46484375,132.28125,168.05126953125,191.34375,174.88037109375,226.78125,228.59033203125,167.71875,304.44873046875,161.8125,174.4189453125,185.4375,92.1005859375,185.4375,92.1005859375,197.25,21.41015625,79.125,196.751953125,79.125,137.689453125,144.09375,85.54833984375,226.78125,98.65283203125,238.59375,163.80615234375,250.40625,193.52197265625
4,2331,89,29,Everton,3538,Wayne Mark Rooney,Right Foot,Normal,Goal,15/10/2017,Brighton & Hove Albion,Everton,2017/2018,Premier League,3240,Mathew Ryan,39.75,139.16796875,39.75,98.91796875,59.875,84.857421875,80.0,90.921875,51.25,107.72265625,42.625,142.087890625,71.375,87.912109375,65.625,67.697265625,65.625,67.697265625,22.5,23.8984375,13.875,92.763671875,25.375,67.068359375,39.75,38.54296875,85.75,76.63671875,88.625,99.681640625,88.625,122.681640625
5,14488,49,24,Liverpool,3531,Mohamed Salah,Left Foot,Normal,Goal,12/01/2019,Brighton & Hove Albion,Liverpool,2018/2019,Premier League,22358,David Button,42.625,126.603515625,45.1875,121.5185546875,60.5625,85.8837890625,45.1875,83.0810546875,14.4375,100.5380859375,34.9375,121.3583984375,52.875,85.763671875,32.375,39.318359375,29.8125,36.7158203125,14.4375,15.9755859375,83.625,68.306640625,58.0,55.09375,24.6875,41.7607421875,40.0625,36.8759765625,60.5625,55.1337890625,81.0625,70.8291015625
6,2223,76,35,Brighton & Hove Albion,3085,Glenn Murray,Right Foot,Normal,Saved,31/03/2018,Brighton & Hove Albion,Leicester City,2017/2018,Premier League,3815,Kasper Schmeichel,26.8125,376.9658203125,110.4375,322.5224609375,194.0625,226.2666015625,277.6875,241.5107421875,326.46875,304.99169921875,214.96875,407.78076171875,242.84375,227.02880859375,277.6875,130.0107421875,277.6875,116.0732421875,291.625,46.603515625,138.3125,253.2705078125,152.25,183.80078125,221.9375,129.1396484375,333.4375,130.8818359375,361.3125,207.9736328125,298.59375,200.02490234375
7,14534,64,39,Manchester United,20004,Paul Pogba,Right Foot,Normal,Goal,09/02/2019,Fulham,Manchester United,2018/2019,Premier League,6823,Sergio Rico González,41.75,279.68359375,151.34375,197.89599609375,193.09375,172.45458984375,177.4375,177.4287109375,120.03125,239.15673828125,46.96875,279.76513671875,193.09375,172.45458984375,213.96875,84.06201171875,240.0625,74.0322265625,271.375,27.552734375,224.40625,277.31884765625,292.25,189.66015625,245.28125,94.98876953125,172.21875,88.62841796875,151.34375,103.95849609375,146.125,98.658203125
8,14308,64,25,Southampton,3966,Charlie Austin,Right Foot,Normal,Saved,01/09/2018,Crystal Palace,Southampton,2018/2019,Premier League,3488,Wayne Hennessey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14563,41,40,West Ham United,3874,Mark Noble,Right Foot,Normal,Goal,02/03/2019,West Ham United,Newcastle United,2018/2019,Premier League,3711,Martin Dúbravka,710.4375,709.8505859375,144.71875,490.51123046875,236.8125,386.7001953125,394.6875,362.8544921875,552.5625,549.5087890625,684.125,696.283203125,315.75,374.77734375,223.65625,175.99462890625,223.65625,189.15087890625,184.1875,56.9716796875,39.46875,554.64794921875,131.5625,332.4306640625,105.25,213.61328125,328.90625,151.32666015625,434.15625,205.59619140625,381.53125,244.24267578125
