,goalkeepers,url,pen_taker,outcome,off_target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Łukasz Fabiański,/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League,Sergio Agüero,Scored,,265.0,535.78125,245.0,375.46875,195.0,204.6875,125.0,203.59375,275.0,355.9375,355.0,457.1875,165.0,214.21875,235.0,105.3125,225.0,105.15625,285.0,26.09375,245.0,215.46875,255.0,115.625,275.0,115.9375,185.0,104.53125,75.0,162.8125,55.0,252.5
1,Kepa Arrizabalaga,/en/matches/d0583d0d/Manchester-United-Chelsea-August-11-2019-Premier-League,Marcus Rashford,Scored,,95.3125,164.8642578125,68.625,126.322265625,102.9375,103.9833984375,114.375,96.537109375,141.0625,135.0791015625,186.8125,158.6689453125,110.5625,104.1025390625,64.8125,69.0751953125,57.1875,57.5185546875,41.9375,38.2177734375,49.5625,91.7119140625,87.6875,80.8701171875,64.8125,65.2626953125,72.4375,57.7568359375,91.5,69.4921875,91.5,88.5546875
2,Tom Heaton,/en/matches/7ad0ed82/Aston-Villa-Bournemouth-August-17-2019-Premier-League,Joshua King,Scored,,24.0,151.375,60.0,124.9375,78.0,92.21875,93.0,101.453125,120.0,113.875,102.0,143.59375,84.0,95.3125,111.0,65.734375,114.0,62.78125,138.0,42.15625,87.0,107.359375,108.0,80.6875,105.0,59.640625,117.0,71.828125,117.0,89.828125,135.0,102.109375
3,Rui Patrício,/en/matches/d8a7f871/Wolverhampton-Wanderers-Manchester-United-August-19-2019-Premier-League,Paul Pogba,Missed,,70.5,122.4609375,53.875,103.201171875,20.625,81.306640625,13.5,76.4453125,44.375,81.677734375,70.5,122.4609375,15.875,78.857421875,51.5,50.9140625,51.5,46.1640625,58.625,24.900390625,58.625,67.650390625,63.375,62.974609375,61.0,51.0625,61.0,51.0625,63.375,62.974609375,61.0,70.0625
4,Vicente Guaita,/en/matches/7c1c4078/Manchester-United-Crystal-Palace-August-24-2019-Premier-League,Marcus Rashford,Missed,1.0,38.25,166.11328125,72.0,129.515625,115.875,99.826171875,109.125,103.095703125,85.5,139.8515625,48.375,162.896484375,95.625,96.134765625,99.0,102.9375,99.0,99.5625,146.25,49.67578125,112.5,89.6484375,126.0,103.359375,112.5,103.1484375,82.125,112.798828125,75.375,139.693359375,68.625,82.212890625
5,Ben Foster,/en/matches/89fbf2a3/Watford-West-Ham-United-August-24-2019-Premier-League,Mark Noble,Scored,,66.0,148.046875,66.0,123.046875,112.875,101.904296875,106.625,101.806640625,94.125,117.236328125,84.75,151.46484375,106.625,98.681640625,112.875,95.654296875,112.875,95.654296875,128.5,120.8984375,134.75,111.62109375,125.375,83.349609375,128.5,102.1484375,100.375,95.458984375,94.125,107.861328125,81.625,117.041015625
6,Bernd Leno,/en/matches/102b241e/Liverpool-Arsenal-August-24-2019-Premier-League,Mohamed Salah,Scored,,22.25,153.61328125,131.625,120.947265625,94.125,110.986328125,78.5,110.7421875,66.0,138.671875,22.25,147.36328125,91.0,110.9375,106.625,70.556640625,125.375,67.724609375,141.0,46.09375,128.5,83.3984375,100.375,64.208984375,122.25,70.80078125,125.375,70.849609375,125.375,80.224609375,137.875,86.669921875
7,Nick Pope,/en/matches/16119ef2/Wolverhampton-Wanderers-Burnley-August-25-2019-Premier-League,Raúl Jiménez,Scored,,196.625,163.572265625,158.8125,144.0751953125,124.78125,109.51220703125,121.0,109.453125,64.28125,123.69189453125,90.75,158.13671875,121.0,105.671875,86.96875,71.10888671875,86.96875,74.89013671875,56.71875,70.63623046875,45.375,112.052734375,56.71875,89.54248046875,79.40625,74.77197265625,86.96875,67.32763671875,60.5,85.8203125,49.15625,119.67431640625
8,Bernd Leno,/en/matches/0b6b8aaf/North-London-Derby-Arsenal-Tottenham-Hotspur-September-1-2019-Premier-League,Harry Kane,Scored,,120.65625,134.10400390625,133.03125,103.35986328125,95.90625,87.31103515625,86.625,84.072265625,74.25,130.28515625,34.03125,151.31298828125,86.625,87.166015625,114.46875,47.38232421875,117.5625,44.3369140625,129.9375,19.7802734375,114.46875,78.31982421875,136.125,72.470703125,120.65625,47.47900390625,108.28125,44.19189453125,123.75,59.90234375,120.65625,81.51025390625
9,Kasper Schmeichel,/en/matches/6d0266a1/Manchester-United-Leicester-City-September-14-2019-Premier-League,Marcus Rashford,Scored,,175.5,145.3671875,67.5,113.3046875,111.375,80.240234375,108.0,76.8125,74.25,113.41015625,101.25,144.20703125,108.0,80.1875,70.875,49.232421875,67.5,45.8046875,50.625,18.541015625,37.125,75.705078125,47.25,69.11328125,57.375,49.021484375,84.375,46.068359375,108.0,66.6875,185.625,145.525390625
10,Bernd Leno,/en/matches/8257eda8/Watford-Arsenal-September-15-2019-Premier-League,Roberto Pereyra,Scored,,45.0,262.703125,100.0,218.5625,155.0,159.421875,205.0,180.203125,220.0,210.4375,40.0,262.625,180.0,169.8125,210.0,85.28125,210.0,80.28125,230.0,30.59375,115.0,163.796875,135.0,104.109375,175.0,74.734375,245.0,100.828125,270.0,136.21875,275.0,96.296875
11,Aaron Ramsdale,/en/matches/ebbb65f5/Southampton-Bournemouth-September-20-2019-Premier-League,James Ward-Prowse,Scored,,151.03125,156.43798828125,113.25,123.87890625,107.4375,88.9130859375,95.8125,88.7314453125,55.125,114.251953125,66.75,143.49609375,95.8125,88.7314453125,90.0,88.640625,81.28125,120.47314453125,31.875,41.232421875,66.75,88.27734375,119.0625,103.6259765625,90.0,114.796875,81.28125,103.03564453125,60.9375,82.3740234375,69.65625,140.63525390625
12,Ben Foster,/en/matches/4672d0d7/Manchester-City-Watford-September-21-2019-Premier-League,Sergio Agüero,Scored,,78.375,143.677734375,75.46875,117.47607421875,92.90625,91.59228515625,104.53125,91.77392578125,87.09375,114.75146484375,92.90625,146.81103515625,98.71875,91.68310546875,78.375,56.490234375,78.375,56.490234375,60.9375,30.0615234375,84.1875,85.6435546875,87.09375,74.06396484375,72.5625,56.3994140625,87.09375,62.43896484375,116.15625,83.23681640625,119.0625,103.6259765625
13,Tom Heaton,/en/matches/d5fa0563/Arsenal-Aston-Villa-September-22-2019-Premier-League,Nicolas Pépé,Scored,,61.875,248.966796875,142.3125,194.5361328125,204.1875,139.8154296875,241.3125,171.3330078125,253.6875,227.2138671875,191.8125,263.3720703125,222.75,152.48046875,290.8125,79.2939453125,290.8125,73.1064453125,315.5625,17.8056640625,290.8125,215.4189453125,290.8125,159.7314453125,253.6875,66.3388671875,327.9375,86.0615234375,303.1875,153.7373046875,210.375,177.037109375
14,"Ralf Fährmann,Michael McGovern",/en/matches/3b180c0d/Crystal-Palace-Norwich-City-September-28-2019-Premier-League,Luka Milivojević,Scored,,51.90625,243.18603515625,117.96875,187.59326171875,165.15625,141.14306640625,193.46875,155.74169921875,174.59375,216.79052734375,122.6875,267.8857421875,174.59375,150.72802734375,212.34375,75.81787109375,207.625,80.462890625,226.5,33.5703125,117.96875,154.56201171875,165.15625,65.64306640625,179.3125,65.8642578125,245.375,90.490234375,240.65625,128.16650390625,235.9375,175.2802734375
15,Mathew Ryan,/en/matches/1d4b5564/Chelsea-Brighton-and-Hove-Albion-September-28-2019-Premier-League,Jorginho,Scored,,64.5,169.4765625,64.5,130.9765625,82.0,99.75,96.0,96.46875,103.0,142.078125,124.0,177.40625,89.0,96.359375,75.0,61.140625,75.0,54.140625,64.5,18.9765625,40.0,99.09375,47.0,81.703125,61.0,60.921875,85.5,57.8046875,103.0,79.078125,106.5,110.6328125
