,player_name,shot_outcome_name,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,Bobby Reid,Goal,Artur Boruc,0.296875,0.3125,0.344790488,0.078125,0.15625,0.21726042,-0.015625,-0.03125,0.03747398,-0.046875,0,-0.039362188,-0.265625,0.171875,0.130576745,0.296875,0.34375,0.230130419,0,0,0,-0.296875,-0.125,-0.055487849,-0.328125,-0.15625,-0.122166924,-0.265625,0.1875,-0.173791766,-0.140625,0.03125,0.077054031,-0.140625,-0.09375,0.082234845,-0.265625,-0.15625,-0.081558168,-0.296875,-0.09375,-0.181643352,-0.234375,0.0625,-0.127241716,-0.125,0.375,-0.030552801
1,Eden Hazard,Goal,Karl Darlow,-0.171875,0.359375,0.165713862,-0.15625,0.25,0.315193117,0.0625,0.03125,0.034650896,-0.0625,0,-0.023299575,-0.203125,0.203125,0.308882117,-0.390625,0.421875,0.030412976,0,0,0,-0.03125,-0.234375,0.006084388,-0.015625,-0.234375,-0.011155256,-0.0625,-0.375,0.015735151,0.1875,0.171875,0.091503039,0.203125,-0.046875,0.084094793,0.125,-0.203125,0.029967621,-0.171875,-0.234375,0.037786648,0.203125,-0.03125,-0.06582287,0.1875,0.234375,-0.155435011
2,Mohamed Salah,Saved,Jonas Lössl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Joshua King,Goal,Jordan Pickford,-0.359375,0.40625,-0.03276528,-0.15625,0.171875,0.101421013,-0.078125,-0.015625,-0.020458147,0.078125,0,0.02474257,0.171875,0.140625,-0.161852658,0.015625,0.34375,-0.057223015,0,0,0,0.0625,-0.21875,-0.06150344,0.0625,-0.21875,-0.152805626,0.09375,-0.40625,-0.104037113,-0.21875,0.0625,-0.202315256,-0.21875,-0.09375,-0.131118551,-0.046875,-0.234375,-0.129460707,0.171875,-0.203125,-0.091516241,0.203125,-0.03125,0.010528105,0.234375,0.046875,-0.102935292
4,Wayne Mark Rooney,Goal,Mathew Ryan,-0.171875,0.28125,-0.017270032,-0.171875,0.0625,0.132535055,-0.0625,-0.015625,0.013412368,0.046875,0.015625,-0.003637729,-0.109375,0.109375,-0.063323513,-0.15625,0.296875,-0.085598141,0,0,0,-0.03125,-0.109375,-0.065853521,-0.03125,-0.109375,-0.16451104,-0.265625,-0.34375,-0.186808214,-0.3125,0.03125,-0.03893552,-0.25,-0.109375,0.017974753,-0.171875,-0.265625,-0.123473451,0.078125,-0.0625,-0.169144407,0.09375,0.0625,-0.114869609,0.09375,0.1875,-0.189607322
5,Mohamed Salah,Goal,David Button,-0.0625,0.25,0.128764451,-0.046875,0.21875,0.140710562,0.046875,0,0.006760472,-0.046875,-0.015625,-0.030060817,-0.234375,0.09375,0.232144102,-0.109375,0.21875,-0.039204784,0,0,0,-0.125,-0.28125,-0.015053568,-0.140625,-0.296875,-0.037601739,-0.234375,-0.421875,-0.040562712,0.1875,-0.109375,0.029936111,0.03125,-0.1875,0.074697964,-0.171875,-0.265625,-0.015457854,-0.078125,-0.296875,-0.040909365,0.046875,-0.1875,0.004840086,0.171875,-0.09375,0.005835824
6,Glenn Murray,Saved,Kasper Schmeichel,-0.484375,0.34375,-0.04046005,-0.296875,0.21875,0.226594672,-0.109375,0,-0.006820083,0.078125,0.03125,0.012153361,0.1875,0.171875,0.083235651,-0.0625,0.40625,-0.040025167,0,0,0,0.078125,-0.21875,-0.001575704,0.078125,-0.25,-0.060776755,0.109375,-0.40625,-0.037233748,-0.234375,0.0625,-0.026444662,-0.203125,-0.09375,-0.021233542,-0.046875,-0.21875,-0.030425116,0.203125,-0.21875,-0.03184402,0.265625,-0.046875,0.022101369,0.125,-0.0625,0.010645458
7,Paul Pogba,Goal,Sergio Rico González,-0.453125,0.328125,0.008436011,-0.125,0.078125,0.190892041,0,0,0.027143659,-0.046875,0.015625,-0.034315716,-0.21875,0.203125,0.162942722,-0.4375,0.328125,-0.018220196,0,0,0,0.0625,-0.265625,-0.01413778,0.140625,-0.296875,-0.010676671,0.234375,-0.4375,-0.030621309,0.09375,0.3125,-0.114945173,0.296875,0.046875,-0.041057996,0.15625,-0.234375,-0.03891195,-0.0625,-0.25,-0.076771542,-0.125,-0.203125,-0.107235372,-0.140625,-0.21875,-0.047081966
8,Charlie Austin,Saved,Wayne Hennessey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mark Noble,Goal,Martin Dúbravka,0.46875,0.390625,-0.018044833,-0.203125,0.140625,0.312241346,-0.09375,0.015625,0.006437529,0.09375,-0.015625,-0.007067833,0.28125,0.203125,0.201758996,0.4375,0.375,-0.007009955,0,0,0,-0.109375,-0.234375,-0.037876572,-0.109375,-0.21875,-0.106513582,-0.15625,-0.375,-0.037212227,-0.328125,0.21875,-0.061523687,-0.21875,-0.046875,-0.032408893,-0.25,-0.1875,-0.094121747,0.015625,-0.265625,-0.042796187,0.140625,-0.203125,-0.085864946,0.078125,-0.15625,-0.149374127
