,goalkeepers,url,pen_taker,outcome,off_target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,Łukasz Fabiański,/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League,Sergio Agüero,Scored,,0.15625,0.5,-0.121989846,0.125,0.25,-0.036968708,0.046875,-0.015625,-0.032118436,-0.0625,-0.015625,0.01989953,0.171875,0.21875,0.099623784,0.296875,0.375,0.20417507,0.0,0.0,0.0,0.109375,-0.171875,0.03348766,0.09375,-0.171875,0.085041374,0.1875,-0.296875,0.10185846,0.125,0.0,0.16343246,0.140625,-0.15625,0.057063766,0.171875,-0.15625,0.07393779,0.03125,-0.171875,0.071425535,-0.140625,-0.078125,0.09524198,-0.171875,0.0625,0.07894658
1,Kepa Arrizabalaga,/en/matches/d0583d0d/Manchester-United-Chelsea-August-11-2019-Premier-League,Marcus Rashford,Scored,,-0.0625,0.25,-0.0191495,-0.171875,0.09375,0.101445176,-0.03125,0.0,0.0263699,0.015625,-0.03125,-0.015613859,0.125,0.125,0.06518781,0.3125,0.21875,-0.007896784,0.0,0.0,0.0,-0.1875,-0.140625,0.019571155,-0.21875,-0.1875,-0.024672825,-0.28125,-0.265625,-0.05713888,-0.25,-0.046875,0.12813139,-0.09375,-0.09375,0.08708943,-0.1875,-0.15625,0.011439662,-0.15625,-0.1875,-0.07903009,-0.078125,-0.140625,-0.13256015,-0.078125,-0.0625,-0.08200467
2,Tom Heaton,/en/matches/7ad0ed82/Aston-Villa-Bournemouth-August-17-2019-Premier-League,Joshua King,Scored,,-0.3125,0.296875,0.020155795,-0.125,0.15625,0.14261214,-0.03125,-0.015625,-0.025929444,0.046875,0.03125,0.026855491,0.1875,0.09375,0.24124803,0.09375,0.25,0.0056242542,0.0,0.0,0.0,0.140625,-0.15625,-0.0072377175,0.15625,-0.171875,0.0012506668,0.28125,-0.28125,-0.0034795369,0.015625,0.0625,-0.107842654,0.125,-0.078125,-0.10083899,0.109375,-0.1875,-0.06294408,0.171875,-0.125,0.05345071,0.171875,-0.03125,0.08871511,0.265625,0.03125,0.07319029
3,Rui Patrício,/en/matches/d8a7f871/Wolverhampton-Wanderers-Manchester-United-August-19-2019-Premier-League,Paul Pogba,Missed,,0.359375,0.28125,0.1142597,0.25,0.15625,0.16608483,0.03125,0.015625,-0.05484708,-0.015625,-0.015625,0.046985585,0.1875,0.015625,0.15973099,0.359375,0.28125,0.11567718,0.0,0.0,0.0,0.234375,-0.1875,-0.009773528,0.234375,-0.21875,0.01102771,0.28125,-0.359375,-0.05212257,0.28125,-0.078125,0.018777022,0.3125,-0.109375,0.022072881,0.296875,-0.1875,-0.02106361,0.296875,-0.1875,0.02741243,0.3125,-0.109375,0.123127624,0.296875,-0.0625,0.1271195
4,Vicente Guaita,/en/matches/7c1c4078/Manchester-United-Crystal-Palace-August-24-2019-Premier-League,Marcus Rashford,Missed,1.0,-0.265625,0.328125,0.00022598449,-0.109375,0.15625,-0.09251966,0.09375,0.015625,-0.024269301,0.0625,0.03125,0.0067873653,-0.046875,0.203125,0.06869403,-0.21875,0.3125,0.068516456,0.0,0.0,0.0,0.015625,0.03125,0.0017710957,0.015625,0.015625,0.0057543656,0.234375,-0.21875,-0.11104528,0.078125,-0.03125,0.0025352887,0.140625,0.03125,-0.057589382,0.078125,0.03125,0.014013433,-0.0625,0.078125,-0.025607176,-0.09375,0.203125,0.011231848,-0.125,-0.0625,-0.004369651
5,Ben Foster,/en/matches/89fbf2a3/Watford-West-Ham-United-August-24-2019-Premier-League,Mark Noble,Scored,,-0.203125,0.25,0.03848865,-0.203125,0.125,0.17915753,0.03125,0.015625,-0.054559425,0.0,0.015625,0.024252158,-0.0625,0.09375,0.07469099,-0.109375,0.265625,0.013502924,0.0,0.0,0.0,0.03125,-0.015625,-0.040920004,0.03125,-0.015625,-0.11909728,0.109375,0.109375,-0.09448798,0.140625,0.0625,0.014385585,0.09375,-0.078125,-0.015454423,0.109375,0.015625,-0.16050594,-0.03125,-0.015625,-0.10956711,-0.0625,0.046875,-0.013181302,-0.125,0.09375,0.0048973737
6,Bernd Leno,/en/matches/102b241e/Liverpool-Arsenal-August-24-2019-Premier-League,Mohamed Salah,Scored,,-0.34375,0.21875,-0.030854678,0.203125,0.046875,0.21189262,0.015625,0.0,-0.047061056,-0.0625,0.0,0.029403357,-0.125,0.140625,0.21337916,-0.34375,0.1875,0.03391693,0.0,0.0,0.0,0.078125,-0.203125,0.008986823,0.171875,-0.21875,-0.009652506,0.25,-0.328125,0.013308266,0.1875,-0.140625,-0.18566415,0.046875,-0.234375,-0.0730252,0.15625,-0.203125,-0.061618716,0.171875,-0.203125,0.012735124,0.171875,-0.15625,0.07769352,0.234375,-0.125,0.07567071
7,Nick Pope,/en/matches/16119ef2/Wolverhampton-Wanderers-Burnley-August-25-2019-Premier-League,Raúl Jiménez,Scored,,0.3125,0.234375,0.06628537,0.15625,0.15625,0.19534147,0.015625,0.015625,0.015724843,0.0,0.015625,-0.021124385,-0.234375,0.078125,0.15990198,-0.125,0.21875,-0.013320459,0.0,0.0,0.0,-0.140625,-0.140625,-0.029227078,-0.140625,-0.125,-0.06607211,-0.265625,-0.140625,-0.058640692,-0.3125,0.03125,0.033367947,-0.265625,-0.0625,0.024045495,-0.171875,-0.125,-0.007430454,-0.140625,-0.15625,-0.0791623,-0.25,-0.078125,0.003219875,-0.296875,0.0625,-0.016641695
8,Bernd Leno,/en/matches/0b6b8aaf/North-London-Derby-Arsenal-Tottenham-Hotspur-September-1-2019-Premier-League,Harry Kane,Scored,,0.171875,0.234375,0.055074662,0.234375,0.078125,0.2033795,0.046875,0.0,-0.048331715,0.0,-0.015625,0.033115055,-0.0625,0.21875,0.12845486,-0.265625,0.328125,0.028180324,0.0,0.0,0.0,0.140625,-0.203125,-0.00425567,0.15625,-0.21875,-0.009008972,0.21875,-0.34375,-0.004916393,0.140625,-0.046875,0.10045877,0.25,-0.078125,-0.011533721,0.171875,-0.203125,-0.052533995,0.109375,-0.21875,0.016457615,0.1875,-0.140625,0.09529005,0.171875,-0.03125,0.22852565
9,Kasper Schmeichel,/en/matches/6d0266a1/Manchester-United-Leicester-City-September-14-2019-Premier-League,Marcus Rashford,Scored,,0.3125,0.296875,0.14172621,-0.1875,0.15625,0.22980562,0.015625,0.0,0.04296961,0.0,-0.015625,-0.0394301,-0.15625,0.15625,0.14326198,-0.03125,0.296875,-0.09054935,0.0,0.0,0.0,-0.171875,-0.140625,-0.02757452,-0.1875,-0.15625,-0.052268676,-0.265625,-0.28125,-0.0697312,-0.328125,-0.015625,0.032403897,-0.28125,-0.046875,0.03607899,-0.234375,-0.140625,-0.007266737,-0.109375,-0.15625,-0.08664428,0.0,-0.0625,-0.095856115,0.359375,0.296875,-0.12818609
