,player_name,shot_outcome_name,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Bobby Reid,Goal,Artur Boruc,175.5,155.7421875,128.25,121.2539063,108,80.4375,101.25,87.08203125,54,123.46875,175.5,162.4921875,111.375,87.24023438,47.25,59.23828125,40.5,52.3828125,54,126.84375,81,93.515625,81,66.515625,54,52.59375,47.25,65.98828125,60.75,99.94921875,84.375,167.8183594
1,Eden Hazard,Goal,Karl Darlow,119.25,309.6132813,124.9375,269.8896484,204.5625,191.5087891,159.0625,179.4228516,107.875,252.5605469,39.625,331.1191406,181.8125,179.7783203,170.4375,94.28808594,176.125,94.37695313,159.0625,42.92285156,250.0625,243.4072266,255.75,163.8710938,227.3125,106.5517578,119.25,93.48828125,255.75,169.5585938,250.0625,266.1572266
2,Mohamed Salah,Saved,Jonas Lössl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Joshua King,Goal,Jordan Pickford,25.96875,325.8588867,102.75,238.4648438,132.28125,168.0512695,191.34375,174.8803711,226.78125,228.590332,167.71875,304.4487305,161.8125,174.4189453,185.4375,92.10058594,185.4375,92.10058594,197.25,21.41015625,79.125,196.7519531,79.125,137.6894531,144.09375,85.54833984,226.78125,98.65283203,238.59375,163.8061523,250.40625,193.5219727
4,Wayne Mark Rooney,Goal,Mathew Ryan,39.75,139.1679688,39.75,98.91796875,59.875,84.85742188,80,90.921875,51.25,107.7226563,42.625,142.0878906,71.375,87.91210938,65.625,67.69726563,65.625,67.69726563,22.5,23.8984375,13.875,92.76367188,25.375,67.06835938,39.75,38.54296875,85.75,76.63671875,88.625,99.68164063,88.625,122.6816406
5,Mohamed Salah,Goal,David Button,42.625,126.6035156,45.1875,121.5185547,60.5625,85.88378906,45.1875,83.08105469,14.4375,100.5380859,34.9375,121.3583984,52.875,85.76367188,32.375,39.31835938,29.8125,36.71582031,14.4375,15.97558594,83.625,68.30664063,58,55.09375,24.6875,41.76074219,40.0625,36.87597656,60.5625,55.13378906,81.0625,70.82910156
6,Glenn Murray,Saved,Kasper Schmeichel,26.8125,376.9658203,110.4375,322.5224609,194.0625,226.2666016,277.6875,241.5107422,326.46875,304.9916992,214.96875,407.7807617,242.84375,227.0288086,277.6875,130.0107422,277.6875,116.0732422,291.625,46.60351563,138.3125,253.2705078,152.25,183.8007813,221.9375,129.1396484,333.4375,130.8818359,361.3125,207.9736328,298.59375,200.0249023
7,Paul Pogba,Goal,Sergio Rico González,41.75,279.6835938,151.34375,197.8959961,193.09375,172.4545898,177.4375,177.4287109,120.03125,239.1567383,46.96875,279.7651367,193.09375,172.4545898,213.96875,84.06201172,240.0625,74.03222656,271.375,27.55273438,224.40625,277.3188477,292.25,189.6601563,245.28125,94.98876953,172.21875,88.62841797,151.34375,103.9584961,146.125,98.65820313
8,Charlie Austin,Saved,Wayne Hennessey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mark Noble,Goal,Martin Dúbravka,710.4375,709.8505859,144.71875,490.5112305,236.8125,386.7001953,394.6875,362.8544922,552.5625,549.5087891,684.125,696.2832031,315.75,374.7773438,223.65625,175.9946289,223.65625,189.1508789,184.1875,56.97167969,39.46875,554.6479492,131.5625,332.4306641,105.25,213.6132813,328.90625,151.3266602,434.15625,205.5961914,381.53125,244.2426758
10,Matt Ritchie,Goal,Ederson Santana de Moraes,106.96875,181.7651367,89,170.703125,89,134.765625,67.4375,141.6162109,78.21875,174.128418,106.96875,192.5463867,71.03125,141.6723633,63.84375,51.71630859,60.25,40.87890625,49.46875,4.772949219,132.125,103.0957031,124.9375,74.23339844,89,52.109375,42.28125,51.37939453,17.125,90.51757813,24.3125,79.84863281
11,Alexandre Lacazette,Goal,Ben Foster,99.71875,302.9956055,150.96875,233.3276367,215.03125,195.8911133,253.46875,247.7416992,202.21875,240.534668,138.15625,297.1899414,234.25,221.8164063,202.21875,106.003418,195.8125,86.68457031,157.375,15.61523438,144.5625,207.6025391,170.1875,169.5654297,208.625,93.29101563,163.78125,105.402832,144.5625,156.3525391,112.53125,232.7270508
12,Jamie Vardy,Goal,Ben Foster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Junior Stanislas,Goal,Wayne Hennessey,25.125,173.8300781,65.34375,143.5209961,80.8125,97.35644531,105.5625,103.9306641,111.75,134.9648438,130.3125,156.9111328,93.1875,100.6435547,114.84375,51.48193359,117.9375,48.43652344,130.3125,20.78613281,62.25,97.06640625,80.8125,72.60644531,102.46875,48.19482422,133.40625,54.86572266,114.84375,79.32568359,114.84375,97.88818359
14,James Philip Milner,Goal,Sergio Rico González,147.71875,231.9956055,76.40625,179.9438477,112.0625,160.1259766,152.8125,150.5751953,219.03125,182.1723633,275.0625,239.0791016,132.4375,160.4443359,81.5,62.8671875,76.40625,67.88134766,66.21875,6.597167969,66.21875,123.753418,35.65625,82.52587891,50.9375,72.57714844,117.15625,53.23681641,147.71875,89.37060547,178.28125,94.94189453
