,goalkeepers,url,pen_taker,outcome,off_target
0,Łukasz Fabiański,/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League,Sergio Agüero,Scored,
1,Kepa Arrizabalaga,/en/matches/d0583d0d/Manchester-United-Chelsea-August-11-2019-Premier-League,Marcus Rashford,Scored,
2,Tom Heaton,/en/matches/7ad0ed82/Aston-Villa-Bournemouth-August-17-2019-Premier-League,Joshua King,Scored,
3,Rui Patrício,/en/matches/d8a7f871/Wolverhampton-Wanderers-Manchester-United-August-19-2019-Premier-League,Paul Pogba,Missed,
4,Vicente Guaita,/en/matches/7c1c4078/Manchester-United-Crystal-Palace-August-24-2019-Premier-League,Marcus Rashford,Missed,1
5,Ben Foster,/en/matches/89fbf2a3/Watford-West-Ham-United-August-24-2019-Premier-League,Mark Noble,Scored,
6,Bernd Leno,/en/matches/102b241e/Liverpool-Arsenal-August-24-2019-Premier-League,Mohamed Salah,Scored,
7,Nick Pope,/en/matches/16119ef2/Wolverhampton-Wanderers-Burnley-August-25-2019-Premier-League,Raúl Jiménez,Scored,
8,Bernd Leno,/en/matches/0b6b8aaf/North-London-Derby-Arsenal-Tottenham-Hotspur-September-1-2019-Premier-League,Harry Kane,Scored,
9,Kasper Schmeichel,/en/matches/6d0266a1/Manchester-United-Leicester-City-September-14-2019-Premier-League,Marcus Rashford,Scored,
10,Bernd Leno,/en/matches/8257eda8/Watford-Arsenal-September-15-2019-Premier-League,Roberto Pereyra,Scored,
11,Aaron Ramsdale,/en/matches/ebbb65f5/Southampton-Bournemouth-September-20-2019-Premier-League,James Ward-Prowse,Scored,
12,Ben Foster,/en/matches/4672d0d7/Manchester-City-Watford-September-21-2019-Premier-League,Sergio Agüero,Scored,
13,Tom Heaton,/en/matches/d5fa0563/Arsenal-Aston-Villa-September-22-2019-Premier-League,Nicolas Pépé,Scored,
14,"Ralf Fährmann,Michael McGovern",/en/matches/3b180c0d/Crystal-Palace-Norwich-City-September-28-2019-Premier-League,Luka Milivojević,Scored,
15,Mathew Ryan,/en/matches/1d4b5564/Chelsea-Brighton-and-Hove-Albion-September-28-2019-Premier-League,Jorginho,Scored,
16,Michael McGovern,/en/matches/e50b8e5b/Norwich-City-Aston-Villa-October-5-2019-Premier-League,Wesley Moraes,Missed,
17,Kasper Schmeichel,/en/matches/aaed1c4e/Liverpool-Leicester-City-October-5-2019-Premier-League,James Milner,Scored,
18,Roberto,/en/matches/23fe51bc/West-Ham-United-Crystal-Palace-October-5-2019-Premier-League,Patrick van Aanholt,Scored,
19,Angus Gunn,/en/matches/644a3723/Wolverhampton-Wanderers-Southampton-October-19-2019-Premier-League,Raúl Jiménez,Scored,
20,Angus Gunn,/en/matches/3e9712d7/Southampton-Leicester-City-October-25-2019-Premier-League,Jamie Vardy,Scored,
21,Jordan Pickford,/en/matches/f728ceea/Brighton-and-Hove-Albion-Everton-October-26-2019-Premier-League,Neal Maupay,Scored,
22,Bernd Leno,/en/matches/077b30ff/Arsenal-Crystal-Palace-October-27-2019-Premier-League,Luka Milivojević,Scored,
23,Tim Krul,/en/matches/a31a1d67/Norwich-City-Manchester-United-October-27-2019-Premier-League,Anthony Martial,Missed,
24,Tim Krul,/en/matches/a31a1d67/Norwich-City-Manchester-United-October-27-2019-Premier-League,Marcus Rashford,Missed,
25,Paulo Gazzaniga,/en/matches/16f28685/Liverpool-Tottenham-Hotspur-October-27-2019-Premier-League,Mohamed Salah,Scored,
26,Kepa Arrizabalaga,/en/matches/0b8b7f66/Watford-Chelsea-November-2-2019-Premier-League,Gerard Deulofeu,Scored,
27,Bernd Leno,/en/matches/19a8b14e/Arsenal-Southampton-November-23-2019-Premier-League,James Ward-Prowse,Missed,
28,Ben Foster,/en/matches/d4aea4c0/Watford-Burnley-November-23-2019-Premier-League,Ashley Barnes,Scored,
29,Mathew Ryan,/en/matches/d0f6bac9/Brighton-and-Hove-Albion-Leicester-City-November-23-2019-Premier-League,Jamie Vardy,Scored,
30,Tim Krul,/en/matches/39fce32e/Norwich-City-Arsenal-December-1-2019-Premier-League,Pierre-Emerick Aubameyang,Scored,
31,Paulo Gazzaniga,/en/matches/614c7c1f/Manchester-United-Tottenham-Hotspur-December-4-2019-Premier-League,Marcus Rashford,Scored,
32,Ben Foster,/en/matches/8b04b0d5/Leicester-City-Watford-December-4-2019-Premier-League,Jamie Vardy,Scored,
33,Ederson,/en/matches/bf9c0d50/Manchester-Derby-Manchester-City-Manchester-United-December-7-2019-Premier-League,Marcus Rashford,Scored,
34,Dean Henderson,/en/matches/b1b5e590/Sheffield-United-Aston-Villa-December-14-2019-Premier-League,Jack Grealish,Missed,1
35,Kasper Schmeichel,/en/matches/733c0243/Manchester-City-Leicester-City-December-21-2019-Premier-League,İlkay Gündoğan,Scored,
36,David de Gea,/en/matches/a58df282/Watford-Manchester-United-December-22-2019-Premier-League,Troy Deeney,Scored,
37,Paulo Gazzaniga,/en/matches/a1a20337/Tottenham-Hotspur-Chelsea-December-22-2019-Premier-League,Willian,Scored,
38,Ben Foster,/en/matches/960ce979/Sheffield-United-Watford-December-26-2019-Premier-League,Oliver Norwood,Scored,
39,Kasper Schmeichel,/en/matches/4b8063da/Leicester-City-Liverpool-December-26-2019-Premier-League,James Milner,Scored,
40,Rui Patrício,/en/matches/6defd3a2/Wolverhampton-Wanderers-Manchester-City-December-27-2019-Premier-League,Raheem Sterling,Missed,
41,Tom Heaton,/en/matches/36dc1eb8/Watford-Aston-Villa-December-28-2019-Premier-League,Troy Deeney,Scored,
42,Tim Krul,/en/matches/a6e8ab71/Norwich-City-Tottenham-Hotspur-December-28-2019-Premier-League,Harry Kane,Scored,
43,Łukasz Fabiański,/en/matches/1f2bd890/West-Ham-United-Leicester-City-December-28-2019-Premier-League,Demarai Gray,Missed,
44,Aaron Ramsdale,/en/matches/9ae01aab/West-Ham-United-Bournemouth-January-1-2020-Premier-League,Mark Noble,Scored,
45,Nick Pope,/en/matches/17a5a8ef/Chelsea-Burnley-January-11-2020-Premier-League,Jorginho,Scored,
46,Tim Krul,/en/matches/db192bf5/Manchester-United-Norwich-City-January-11-2020-Premier-League,Marcus Rashford,Scored,
47,Ederson,/en/matches/ffb4946c/Aston-Villa-Manchester-City-January-12-2020-Premier-League,Anwar El Ghazi,Scored,
48,Paulo Gazzaniga,/en/matches/46697bf6/Watford-Tottenham-Hotspur-January-18-2020-Premier-League,Troy Deeney,Missed,
49,Alex McCarthy,/en/matches/9d6674f8/Southampton-Wolverhampton-Wanderers-January-18-2020-Premier-League,Raúl Jiménez,Scored,
50,Aaron Ramsdale,/en/matches/2550abdc/Norwich-City-Bournemouth-January-18-2020-Premier-League,Teemu Pukki,Scored,
51,Nick Pope,/en/matches/bd102a2b/Burnley-Leicester-City-January-19-2020-Premier-League,Jamie Vardy,Missed,
52,Dean Henderson,/en/matches/ae7cb0c2/Sheffield-United-Manchester-City-January-21-2020-Premier-League,Gabriel Jesus,Missed,
53,Bernd Leno,/en/matches/38d058ad/North-West-London-Derby-Chelsea-Arsenal-January-21-2020-Premier-League,Jorginho,Scored,
54,Darren Randolph,/en/matches/354b03ac/Leicester-City-West-Ham-United-January-22-2020-Premier-League,Ayoze Pérez,Scored,
55,Kasper Schmeichel,/en/matches/354b03ac/Leicester-City-West-Ham-United-January-22-2020-Premier-League,Mark Noble,Scored,
56,Hugo Lloris,/en/matches/b36a7b4d/Tottenham-Hotspur-Norwich-City-January-22-2020-Premier-League,Teemu Pukki,Scored,
57,Łukasz Fabiański,/en/matches/7b057bc1/West-Ham-United-Liverpool-January-29-2020-Premier-League,Mohamed Salah,Scored,
58,Hugo Lloris,/en/matches/e98d8736/Tottenham-Hotspur-Manchester-City-February-2-2020-Premier-League,İlkay Gündoğan,Missed,
59,Pepe Reina,/en/matches/ebfe971d/Aston-Villa-Tottenham-Hotspur-February-16-2020-Premier-League,Son Heung-min,Missed,
60,Aaron Ramsdale,/en/matches/bcdc3fb0/Burnley-Bournemouth-February-22-2020-Premier-League,Jay Rodriguez,Scored,
