,player_name,shot_outcome_name,gk_name,,,,,,,
0,Bobby Reid,Goal,Artur Boruc,,,,,,,
1,Eden Hazard,Goal,Karl Darlow,,,,,,,
2,Mohamed Salah,Saved,Jonas Lössl,,,,,,,
3,Joshua King,Goal,Jordan Pickford,,,,,,,
4,Wayne Mark Rooney,Goal,Mathew Ryan,,,,,,,
5,Mohamed Salah,Goal,David Button,,,,,,,
6,Glenn Murray,Saved,Kasper Schmeichel,,,,,,,
7,Paul Pogba,Goal,Sergio Rico González,,,,,,,
8,Charlie Austin,Saved,Wayne Hennessey,,,,,,,
9,Mark Noble,Goal,Martin Dúbravka,,,,,,,
10,Matt Ritchie,Goal,Ederson Santana de Moraes,,,,,,,
11,Alexandre Lacazette,Goal,Ben Foster,,,,,,,
12,Jamie Vardy,Goal,Ben Foster,,,,,,,
13,Junior Stanislas,Goal,Wayne Hennessey,,,,,,,
14,James Philip Milner,Goal,Sergio Rico González,,,,,,,
15,Aaron Mooy,Goal,Kasper Schmeichel,,,,,,,
16,Jamie Vardy,Goal,Ben Hamer,,,,,,,
17,Pascal Groß,Saved,Marcus Bettinelli,,,,,,,
18,Glenn Murray,Goal,Marcus Bettinelli,,,,,,,
19,Eden Hazard,Goal,Martin Dúbravka,,,,,,,
20,Aaron Mooy,Goal,Heurelho da Silva Gomes,,,,,,,
21,Joshua King,Goal,Ben Foster,,,,,,,
22,Harry Kane,Saved,Loris Karius,,,,,,,
23,Harry Kane,Goal,Loris Karius,,,,,,,
24,Gabriel Fernando de Jesus,Goal,Rui Pedro dos Santos Patrício,,,,,,,
25,Jamie Vardy,Goal,Thibaut Courtois,,,,,,,
26,Paul Pogba,Saved,Joe Hart,,,,,,,
27,Gylfi Þór Sigurðsson,Saved,Kepa Arrizabalaga Revuelta,,,,,,,
28,Paul Pogba,Goal,David Button,,,,,,,
29,James Philip Milner,Goal,Wayne Hennessey,,,,,,,
30,Jamie Vardy,Goal,Petr Čech,,,,,,,
31,Luka Milivojević,Goal,Loris Karius,,,,,,,
32,Wayne Mark Rooney,Saved,Mathew Ryan,,,,,,,
33,Mohamed Salah,Goal,Bernd Leno,,,,,,,
34,Roberto Firmino Barbosa de Oliveira,Goal,Bernd Leno,,,,,,,
35,Luka Milivojević,Goal,Mathew Ryan,,,,,,,
36,Paul Pogba,Goal,Kasper Schmeichel,,,,,,,
37,Paul Pogba,Saved,Angus Gunn,,,,,,,
38,Paul Pogba,Saved,Jordan Pickford,,,,,,,
39,Gylfi Þór Sigurðsson,Goal,David de Gea Quintana,,,,,,,
40,Sergio Leonel Agüero del Castillo,Goal,Karl Darlow,,,,,,,
41,Daniel William John Ings,Goal,Mathew Ryan,,,,,,,
42,Glenn Murray,Goal,Alex McCarthy,,,,,,,
43,Eden Hazard,Goal,Jonas Lössl,,,,,,,
44,Leighton Baines,Goal,Heurelho da Silva Gomes,,,,,,,
45,Tom Cleverley,Off T,Jordan Pickford,,,,,,,
46,Joshua King,Goal,Orestis Karnezis,,,,,,,
47,Mohamed Salah,Goal,Martin Dúbravka,,,,,,,
48,Glenn Murray,Goal,Wayne Hennessey,,,,,,,
49,Luka Milivojević,Goal,Mathew Ryan,,,,,,,
50,Charlie Adam,Saved,Mathew Ryan,,,,,,,
51,Harry Kane,Goal,Jonas Lössl,,,,,,,
52,Rajiv van La Parra,Goal,Asmir Begović,,,,,,,
53,Sergio Leonel Agüero del Castillo,Goal,Petr Čech,,,,,,,
54,James Philip Milner,Goal,Neil Leonard Dula Etheridge,,,,,,,
55,James Ward-Prowse,Goal,Kasper Schmeichel,,,,,,,
56,André Ayew Pelé,Saved,Rob Elliot,,,,,,,
57,Luka Milivojević,Goal,Bernd Leno,,,,,,,
58,Luka Milivojević,Goal,Bernd Leno,,,,,,,
59,Mark Noble,Goal,Wayne Hennessey,,,,,,,
60,José Luis Sanmartín Mato,Saved,Nick Pope,,,,,,,
61,Gabriel Fernando de Jesus,Post,Hugo Lloris,,,,,,,
62,Eden Hazard,Goal,Neil Leonard Dula Etheridge,,,,,,,
63,Mark Noble,Goal,Vicente Guaita Panadero,,,,,,,
64,Harry Kane,Goal,Bernd Leno,,,,,,,
65,Pierre-Emerick Aubameyang,Saved,Hugo Lloris,,,,,,,
66,Sergio Leonel Agüero del Castillo,Goal,Kepa Arrizabalaga Revuelta,,,,,,,
67,Troy Deeney,Goal,Thibaut Courtois,,,,,,,
68,Harry Kane,Goal,Nick Pope,,,,,,,
69,Pierre-Emerick Aubameyang,Goal,Neil Leonard Dula Etheridge,,,,,,,
70,Xherdan Shaqiri,Saved,Łukasz Fabiański,,,,,,,
71,Roberto Firmino Barbosa de Oliveira,Goal,Heurelho da Silva Gomes,,,,,,,
72,Marko Arnautović,Goal,Asmir Begović,,,,,,,
73,Luka Milivojević,Goal,Ben Hamer,,,,,,,
74,Pierre-Emerick Aubameyang,Goal,Mathew Ryan,,,,,,,
75,Glenn Murray,Goal,Bernd Leno,,,,,,,
76,Wilfried Zaha,Goal,Łukasz Fabiański,,,,,,,
77,Gylfi Þór Sigurðsson,Post,Marcus Bettinelli,,,,,,,
78,Pascal Groß,Goal,David de Gea Quintana,,,,,,,
79,Paul Pogba,Goal,Mathew Ryan,,,,,,,
80,Rúben Diogo Da Silva Neves,Goal,Hugo Lloris,,,,,,,
81,Raúl Alonso Jiménez Rodríguez,Goal,Hugo Lloris,,,,,,,
82,Mohamed Salah,Goal,Jonas Lössl,,,,,,,
83,Wayne Mark Rooney,Saved,Łukasz Fabiański,,,,,,,
84,Wayne Mark Rooney,Goal,Łukasz Fabiański,,,,,,,
85,Pierre-Emerick Aubameyang,Saved,Ederson Santana de Moraes,,,,,,,
86,Joshua King,Goal,Kasper Schmeichel,,,,,,,
87,James Maddison,Goal,Asmir Begović,,,,,,,
88,Luka Milivojević,Goal,Jonas Lössl,,,,,,,
89,Sergio Leonel Agüero del Castillo,Goal,Łukasz Fabiański,,,,,,,
90,Manolo Gabbiadini,Goal,Rob Elliot,,,,,,,
91,Troy Deeney,Goal,Łukasz Fabiański,,,,,,,
92,Pierre-Emerick Aubameyang,Goal,David de Gea Quintana,,,,,,,
93,Willian Borges da Silva,Goal,Jack Butland,,,,,,,
94,Jamie Vardy,Saved,Hugo Lloris,,,,,,,
95,Anthony Martial,Goal,Jordan Pickford,,,,,,,
96,Aboubakar Kamara,Goal,David de Gea Quintana,,,,,,,
97,Matt Ritchie,Saved,Jordan Pickford,,,,,,,
98,Jamie Vardy,Goal,Martin Dúbravka,,,,,,,
99,Pierre-Emerick Aubameyang,Goal,Jack Butland,,,,,,,
100,Alexandre Lacazette,Goal,Jack Butland,,,,,,,
101,Gabriel Fernando de Jesus,Saved,Łukasz Fabiański,,,,,,,
102,Joe Ralls,Saved,Łukasz Fabiański,,,,,,,
103,Jamie Vardy,Goal,Jordan Pickford,,,,,,,
104,Mark Noble,Goal,Jack Butland,,,,,,,
105,Eden Hazard,Goal,Ben Foster,,,,,,,
106,Ashley Barnes,Goal,Mathew Ryan,,,,,,,
107,Aleksandar Mitrović,Goal,Artur Boruc,,,,,,,
108,Robert Kenedy Nunes do Nascimento,Saved,Neil Leonard Dula Etheridge,,,,,,,
109,İlkay Gündoğan,Goal,Hugo Lloris,,,,,,,
110,Paul Pogba,Goal,Tom Heaton,,,,,,,
111,Glenn Murray,Goal,Alex McCarthy,,,,,,,
112,Junior Stanislas,Goal,Jack Butland,,,,,,,
113,Jamie Vardy,Goal,Mathew Ryan,,,,,,,
114,Jamie Vardy,Goal,Jonas Lössl,,,,,,,
115,Pierre-Emerick Aubameyang,Goal,Hugo Lloris,,,,,,,
116,Harry Kane,Goal,Bernd Leno,,,,,,,
117,Jamie Vardy,Goal,Orestis Karnezis,,,,,,,
118,Glenn Murray,Goal,Joe Hart,,,,,,,
119,Luka Milivojević,Saved,Ederson Santana de Moraes,,,,,,,
120,Mark Noble,Goal,Ben Foster,,,,,,,
121,Wayne Mark Rooney,Saved,Joe Hart,,,,,,,
122,Manuel Lanzini,Saved,Jordan Pickford,,,,,,,
123,Jordan Ayew,Goal,Adrián San Miguel del Castillo,,,,,,,
124,Luka Milivojević,Goal,Rui Pedro dos Santos Patrício,,,,,,,
125,Alexis Alejandro Sánchez Sánchez,Saved,Jonas Lössl,,,,,,,
126,Joshua King,Goal,Kasper Schmeichel,,,,,,,
127,Luka Milivojević,Saved,Jordan Pickford,,,,,,,
128,Joshua King,Goal,Martin Dúbravka,,,,,,,
129,Eden Hazard,Goal,Petr Čech,,,,,,,
130,Aboubakar Kamara,Saved,Jonas Lössl,,,,,,,
131,Wayne Mark Rooney,Goal,Simon Mignolet,,,,,,,
132,Luka Milivojević,Goal,Asmir Begović,,,,,,,
133,Christian Benteke Liolo,Saved,Asmir Begović,,,,,,,
134,Luka Milivojević,Goal,Sergio Rico González,,,,,,,
135,Christian Benteke Liolo,Goal,Ben Hamer,,,,,,,
136,Gylfi Þór Sigurðsson,Saved,Ben Foster,,,,,,,
137,Callum Paterson,Goal,David de Gea Quintana,,,,,,,
138,Jesse Lingard,Goal,Neil Leonard Dula Etheridge,,,,,,,
139,Luka Milivojević,Goal,Karl Darlow,,,,,,,
140,Jay Rodriguez,Goal,Petr Čech,,,,,,,
141,Harry Kane,Goal,Mathew Ryan,,,,,,,
142,Troy Deeney,Goal,David de Gea Quintana,,,,,,,
143,Paul Pogba,Goal,Łukasz Fabiański,,,,,,,
144,Paul Pogba,Goal,Łukasz Fabiański,,,,,,,
